Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Fri, Dec 4, 2015",7:30p,Milwaukee Bucks,95,Detroit Pistons,102,Box Score,,16963,
"Fri, Dec 4, 2015",8:00p,Los Angeles Lakers,87,Atlanta Hawks,100,Box Score,,19051,
"Fri, Dec 4, 2015",8:30p,Houston Rockets,100,Dallas Mavericks,96,Box Score,,20339,
"Fri, Dec 4, 2015",9:30p,Cleveland Cavaliers,108,New Orleans Pelicans,114,Box Score,OT,17906,
"Sat, Dec 5, 2015",1:00p,Denver Nuggets,108,Philadelphia 76ers,105,Box Score,,15677,
"Sat, Dec 5, 2015",5:00p,Golden State Warriors,112,Toronto Raptors,109,Box Score,,20160,
"Sat, Dec 5, 2015",8:00p,Charlotte Hornets,102,Chicago Bulls,96,Box Score,,21770,
"Sat, Dec 5, 2015",8:00p,Sacramento Kings,113,Houston Rockets,120,Box Score,,17318,
"Sat, Dec 5, 2015",8:00p,Cleveland Cavaliers,84,Miami Heat,99,Box Score,,19600,
"Sat, Dec 5, 2015",8:00p,Portland Trail Blazers,109,Minnesota Timberwolves,103,Box Score,,16203,
"Sat, Dec 5, 2015",8:30p,New York Knicks,91,Milwaukee Bucks,106,Box Score,,16223,
"Sat, Dec 5, 2015",8:30p,Boston Celtics,105,San Antonio Spurs,108,Box Score,,18418,
"Sat, Dec 5, 2015",9:00p,Indiana Pacers,119,Utah Jazz,122,Box Score,OT,19500,
"Sat, Dec 5, 2015",10:30p,Orlando Magic,101,Los Angeles Clippers,103,Box Score,,19146,
"Sun, Dec 6, 2015",3:30p,Phoenix Suns,93,Memphis Grizzlies,95,Box Score,,16022,
"Sun, Dec 6, 2015",6:00p,Golden State Warriors,114,Brooklyn Nets,98,Box Score,,17732,
"Sun, Dec 6, 2015",6:00p,Los Angeles Lakers,91,Detroit Pistons,111,Box Score,,20228,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sun, Dec 6, 2015",6:00p,Dallas Mavericks,116,Washington Wizards,104,Box Score,,16394,
"Sun, Dec 6, 2015",7:00p,Sacramento Kings,95,Oklahoma City Thunder,98,Box Score,,18203,
"Mon, Dec 7, 2015",7:00p,Detroit Pistons,84,Charlotte Hornets,104,Box Score,,15481,
"Mon, Dec 7, 2015",7:00p,San Antonio Spurs,119,Philadelphia 76ers,68,Box Score,,14449,
"Mon, Dec 7, 2015",7:30p,Washington Wizards,114,Miami Heat,103,Box Score,,19600,
"Mon, Dec 7, 2015",7:30p,Dallas Mavericks,104,New York Knicks,97,Box Score,,19812,
"Mon, Dec 7, 2015",7:30p,Los Angeles Lakers,93,Toronto Raptors,102,Box Score,,20163,
"Mon, Dec 7, 2015",8:00p,Phoenix Suns,103,Chicago Bulls,101,Box Score,,21337,
"Mon, Dec 7, 2015",8:00p,Portland Trail Blazers,88,Milwaukee Bucks,90,Box Score,,14389,
"Mon, Dec 7, 2015",8:00p,Los Angeles Clippers,110,Minnesota Timberwolves,106,Box Score,,11467,
"Mon, Dec 7, 2015",8:00p,Boston Celtics,111,New Orleans Pelicans,93,Box Score,,15715,
"Tue, Dec 8, 2015",7:00p,Portland Trail Blazers,100,Cleveland Cavaliers,105,Box Score,,20562,
"Tue, Dec 8, 2015",7:00p,Golden State Warriors,131,Indiana Pacers,123,Box Score,,18165,
"Tue, Dec 8, 2015",7:30p,Houston Rockets,105,Brooklyn Nets,110,Box Score,,13319,
"Tue, Dec 8, 2015",8:00p,Oklahoma City Thunder,125,Memphis Grizzlies,88,Box Score,,16415,
"Tue, Dec 8, 2015",9:00p,Orlando Magic,85,Denver Nuggets,74,Box Score,,13925,
"Tue, Dec 8, 2015",10:00p,Utah Jazz,106,Sacramento Kings,114,Box Score,,16505,
"Wed, Dec 9, 2015",7:00p,Chicago Bulls,100,Boston Celtics,105,Box Score,,17318,
"Wed, Dec 9, 2015",7:00p,Miami Heat,81,Charlotte Hornets,99,Box Score,,17404,
"Wed, Dec 9, 2015",7:00p,Houston Rockets,109,Washington Wizards,103,Box Score,,16041,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Wed, Dec 9, 2015",7:30p,Memphis Grizzlies,93,Detroit Pistons,92,Box Score,,13411,
"Wed, Dec 9, 2015",7:30p,San Antonio Spurs,94,Toronto Raptors,97,Box Score,,19800,
"Wed, Dec 9, 2015",8:00p,Los Angeles Clippers,109,Milwaukee Bucks,95,Box Score,,14224,
"Wed, Dec 9, 2015",8:00p,Los Angeles Lakers,122,Minnesota Timberwolves,123,Box Score,OT,18076,
"Wed, Dec 9, 2015",9:00p,Orlando Magic,104,Phoenix Suns,107,Box Score,,17637,
"Wed, Dec 9, 2015",9:00p,New York Knicks,85,Utah Jazz,106,Box Score,,18586,
"Wed, Dec 9, 2015",9:30p,Atlanta Hawks,98,Dallas Mavericks,95,Box Score,,19936,
"Thu, Dec 10, 2015",7:30p,Philadelphia 76ers,91,Brooklyn Nets,100,Box Score,,13266,
"Thu, Dec 10, 2015",8:00p,Los Angeles Clippers,80,Chicago Bulls,83,Box Score,,21491,
"Thu, Dec 10, 2015",8:00p,Atlanta Hawks,94,Oklahoma City Thunder,107,Box Score,,18203,
"Thu, Dec 10, 2015",10:30p,New York Knicks,97,Sacramento Kings,99,Box Score,,17317,
"Fri, Dec 11, 2015",7:00p,Miami Heat,83,Indiana Pacers,96,Box Score,,16184,
"Fri, Dec 11, 2015",7:00p,Cleveland Cavaliers,111,Orlando Magic,76,Box Score,,17239,
"Fri, Dec 11, 2015",7:00p,Detroit Pistons,107,Philadelphia 76ers,95,Box Score,,17239,
"Fri, Dec 11, 2015",7:30p,Golden State Warriors,124,Boston Celtics,119,Box Score,2OT,18624,
